date,district,candidate,lower,mean,upper
2020-07-08,Alabama-1,dem,0.3299606740824966,0.41330600258492023,0.4465326335528097
2020-07-08,Alabama-1,other,0.003523611901432333,0.007644792244095672,0.013325607602401198
2020-07-08,Alabama-1,rep,0.5444172085224253,0.5777095520231228,0.6638124236033197
2020-07-08,Alabama-2,dem,0.34726173643762204,0.4282670430693942,0.4616468524434224
2020-07-08,Alabama-2,other,0.004653163782975007,0.008744580800062463,0.01451267266685704
2020-07-08,Alabama-2,rep,0.5287967947305894,0.5620436624189568,0.6451388378362013
2020-07-08,Alabama-3,dem,0.3186527266592113,0.35457112214144704,0.3870403243286449
2020-07-08,Alabama-3,other,0.003718991828324114,0.007544434603487971,0.013271310301976409
2020-07-08,Alabama-3,rep,0.6034646336691365,0.636614781710628,0.6739342085010844
2020-07-08,Alabama-4,dem,0.17430052045168182,0.21122868082502086,0.24394986619500267
2020-07-08,Alabama-4,other,0.003800598629722435,0.007838378499696666,0.013622099019341284
2020-07-08,Alabama-4,rep,0.7467182839216526,0.7800757117676511,0.8191006528438252
2020-07-08,Alabama-5,dem,0.3432428056110599,0.381354128566466,0.40981698426527763
2020-07-08,Alabama-5,other,0.003702524542247487,0.007926719559900902,0.013719805485934307
2020-07-08,Alabama-5,rep,0.580004355171309,0.6097906224071825,0.649658064320448
2020-07-08,Alabama-6,dem,0.2551452996921533,0.3033868782646175,0.33828300698487385
2020-07-08,Alabama-6,other,0.003393813658393513,0.007440914070686561,0.013331227044527473
2020-07-08,Alabama-6,rep,0.6536308900103992,0.6880274061390634,0.7362286269334877
2020-07-08,Alabama-7,dem,0.5622722572657008,0.5983471406658215,0.9383289064132914
2020-07-08,Alabama-7,other,0.022902144806991022,0.026907765583754018,0.03262710545768349
2020-07-08,Alabama-7,rep,0.03605807177657314,0.3732630166865476,0.40897401384333176
2020-07-08,Alaska-0,dem,0.40966876019700993,0.44805769432148734,0.48032796949804196
2020-07-08,Alaska-0,other,0.006752987337795425,0.010876308500870402,0.016479103737076763
2020-07-08,Alaska-0,rep,0.5073931522110682,0.5400236174745191,0.5799972881443934
2020-07-08,Arizona-1,dem,0.5366262184033335,0.5759270076322073,0.6079726227280202
2020-07-08,Arizona-1,other,0.003163907178189496,0.007175363662060008,0.012922592305940742
2020-07-08,Arizona-1,rep,0.3835019573788893,0.41560577697602524,0.45629859610623813
2020-07-08,Arizona-2,dem,0.5372758571762396,0.5837153956154347,0.6172632245784273
2020-07-08,Arizona-2,other,0.0031544006112036783,0.007129299540038159,0.012834305648457845
2020-07-08,Arizona-2,rep,0.37484461319302964,0.4079369000599775,0.4554531985873736
2020-07-08,Arizona-3,dem,0.6216588569931495,0.6532697641743977,0.6833108932016103
2020-07-08,Arizona-3,other,0.018726452571072593,0.022878968786424148,0.028443667878826278
2020-07-08,Arizona-3,rep,0.29227508483326736,0.32265794080886656,0.3557655608015531
2020-07-08,Arizona-4,dem,0.2637772003850633,0.30275208372830476,0.3341817742078969
2020-07-08,Arizona-4,other,0.014976223743162697,0.019036846322472212,0.024891335284648892
2020-07-08,Arizona-4,rep,0.6447739407393249,0.6769726821514129,0.7174415393291321
2020-07-08,Arizona-5,dem,0.3495678032930131,0.3803682071156734,0.411605936776912
2020-07-08,Arizona-5,other,0.018796544870248042,0.022758727496494185,0.02843037058145721
2020-07-08,Arizona-5,rep,0.5641394303403314,0.5967670752247392,0.627665685542813
2020-07-08,Arizona-6,dem,0.38740264762552407,0.41898206414269235,0.45153768275380435
2020-07-08,Arizona-6,other,0.01872793608072515,0.022623828853322342,0.02852723700068706
2020-07-08,Arizona-6,rep,0.5243168709505528,0.5575007365643461,0.5884464399109886
2020-07-08,Arizona-7,dem,0.4520537480205298,0.4889905583228699,0.8261453813032371
2020-07-08,Arizona-7,other,0.1338035818471374,0.13779264431376081,0.14340626885134847
2020-07-08,Arizona-7,rep,0.03795672271175456,0.3718658864576853,0.40847274249918475
2020-07-08,Arizona-8,dem,0.38911758654203715,0.42951295788460664,0.4630094782998583
2020-07-08,Arizona-8,other,0.003127266232951953,0.006991102328581106,0.012606062976798355
2020-07-08,Arizona-8,rep,0.5289452017221009,0.5621688496436785,0.6040572894484385
